SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr037531,0.8905,0.003,-117,3,-19.76
icr075676,0.972,0.0031,-36.2,3.1,-17.46
icr072716,0.9484,0.0031,-59.6,3.1,-21.23
icr075756,0.9523,0.0033,-55.7,3.3,-14.88
icr076362,0.9785,0.0033,-29.8,3.3,-14.04
icr070262,1.0206,0.0033,12,3.3,-20.84
icr050355,1.0256,0.0032,17,3.2,-19.64
icr037574,1.025,0.0031,16.4,3.1,-20.4
icr075696,1.0352,0.0032,26.5,3.2,-14.76
icr056500,1.0247,0.0033,16.1,3.3,-20.37
icr070370,1.0251,0.0025,16.4,2.5,-18.33
icr033635,1.0637,0.0024,54.8,2.4,-18.41
icr068322,0.973,0.0022,-35.2,2.2,-22.47
icr054182,0.9151,0.0026,-92.7,2.6,-18.37
icr068321,0.9815,0.0025,-26.7,2.5,-22.37
icr054302,0.8742,0.0023,-133.2,2.3,-23.18
icr038302,0.9421,0.0025,-65.8,2.5,-16.07
icr050214,1.0073,0.0023,-1.2,2.3,-15.05
icr054403,0.9499,0.003,-58.1,3,-19.25
icr037454,0.9549,0.0025,-53.2,2.5,-18.78
icr041680,0.9218,0.0024,-85.9,2.4,-16.72
icr054310,0.9618,0.0023,-46.3,2.3,-19.83
icr041790,0.8942,0.0022,-113.4,2.2,-19.14
icr068399,1.0073,0.0023,-1.2,2.3,-22.06
icr020889,0.9862,0.0025,-22.1,2.5,-15.64
icr005972,0.9598,0.0024,-48.3,2.4,-17.84
icr048837,0.8925,0.0025,-115,2.5,-17.59
icr041789,0.9588,0.0025,-49.3,2.5,-20.63
icr054176,0.8672,0.002,-140.1,2,-19.53
icr038228,0.9344,0.0025,-73.4,2.5,-19.99
icr068162,0.9695,0.0026,-38.7,2.6,-22.11
icr042268,0.9766,0.0026,-31.6,2.6,-16.79
icr068279,0.9488,0.0024,-59.2,2.4,-19.74
icr068280,0.9971,0.0029,-11.3,2.9,-19.77
icr068161,0.991,0.0024,-17.4,2.4,-22.42
icr050215,0.9325,0.0026,-75.4,2.6,-16.59
icr005991,1.0321,0.0031,23.4,3.1,-22.67
icr038300,0.5821,0.0023,-422.8,2.2,-21.87
icr068361,0.9642,0.0028,-43.9,2.8,-22.92
icr068400,0.9164,0.003,-91.3,3,-20.88
icr068362,0.9219,0.0026,-85.9,2.6,-22.08
icr048838,0.8544,0.0025,-152.8,2.5,-18.62
icr068381,0.928,0.0026,-79.8,2.6,-23.75
icr006131,0.9655,0.0028,-42.6,2.8,-23.16
icr038303,0.9195,0.0026,-88.2,2.6,-18.1
icr068382,0.8715,0.0031,-135.8,3.1,-23.44
icr073520,0.9397,0.0029,-68.2,2.9,-17.14
icr076423,0.8335,0.0026,-173.5,2.6,-15.79
icr072596,0.9781,0.003,-30.1,3,-20.7
icr073169,0.9879,0.0032,-20.5,3.2,-18.62
icr076495,0.7448,0.0022,-261.5,2.2,-18.89
icr076375,0.8739,0.0027,-133.5,2.7,-14.25
icr076419,0.9573,0.0028,-50.8,2.8,-12.56
icr073149,0.9682,0.0028,-39.9,2.8,-17.14
icr073440,0.955,0.003,-53.1,3,-18.67
icr076358,0.8837,0.0026,-123.7,2.6,-16.34
icr076647,0.8651,0.0025,-142.2,2.5,-15.84
icr070125,0.9319,0.0026,-75.9,2.6,-17.66
icr073579,0.9672,0.0026,-40.9,2.6,-19.47
icr072816,0.9939,0.0027,-14.5,2.7,-19.09
icr074692,1.0214,0.003,12.8,3,-22.01
icr072836,1.0271,0.003,18.5,3,-22.33
icr073559,0.95,0.0033,-58,3.3,-19.39
icr072756,0.9759,0.0032,-32.3,3.2,-23.36
icr073380,0.9742,0.003,-34,3,-21.24
icr076407,0.7162,0.0026,-289.8,2.6,-17.45
icr072896,0.9832,0.0032,-25,3.2,-23
icr076353,0.8302,0.0027,-176.8,2.7,-20
icr072817,0.8601,0.003,-147.1,2.9,-20.1
icr072897,0.8956,0.0031,-112,3.1,-22.75
icr072597,0.8829,0.0031,-124.5,3.1,-20.3
icr076354,0.7588,0.0027,-247.6,2.7,-18.37
icr072837,0.8921,0.0043,-115.4,4.3,-22.23
icr072757,0.8441,0.003,-163,2.9,-22.27
