SSN,F14C,F14C_err ,Delta14C,Delta14C_err,Delta13C
icr054556,1.0785,0.0019,69.4,1.9,-17.38
icr054643,1.0604,0.0019,51.4,1.9,-17.40
icr054523,1.0912,0.002,82,2,-19.08
icr037986,1.0329,0.002,24.2,2,-19.88
icr054449,1.036,0.0021,27.2,2.1,-17.50
icr054709,1.0701,0.002,61.1,2,-15.85
icr054256,1.0728,0.0021,63.7,2.1,-21.43
icr037927,1.0636,0.0021,54.6,2.1,-20.44
icr054574,1.0469,0.0019,38,1.9,-17.13
icr054644,0.9932,0.0018,-15.2,1.8,-16.33
icr037987,0.9601,0.0018,-48,1.8,-16.68
icr054445,0.9969,0.0019,-11.5,1.9,-15.93
icr054433,1.0432,0.0019,34.4,1.9,-20.33
icr054557,1.0252,0.0019,16.5,1.9,-18.37
icr054524,1.0086,0.002,0.1,2,-21.65
icr054201,1.0236,0.0018,15,1.8,-16.96
icr054575,0.9941,0.0018,-14.3,1.8,-14.59
icr054446,0.96,0.0018,-48,1.8,-15.85
icr054190,1.0389,0.002,30.1,2,-17.39
icr072365,1.0626,0.0019,53.7,1.9,-13.73
icr054450,0.9466,0.0018,-61.4,1.8,-15.40
icr072246,1.1042,0.002,94.9,2,-19.90
icr054426,1.0281,0.0019,19.5,1.9,-17.22
icr073228,1.0522,0.0022,43.4,2.2,-15.52
icr054710,1.0088,0.0019,0.3,1.9,-15.45
icr054234,0.9983,0.0024,-10.1,2.4,-18.93
icr054434,1.0069,0.0019,-1.6,1.9,-18.73
icr048664,1.0358,0.002,27.1,2,-11.51
icr073301,1.0508,0.002,41.9,2,-15.44
icr054188,1.0559,0.0019,47,1.9,-19.36
icr037928,0.9857,0.0019,-22.6,1.9,-17.56
icr072286,1.0855,0.002,76.4,2,-19.83
icr072366,0.9968,0.002,-11.6,2,-12.77
icr072968,1.05,0.0019,41.1,1.9,-20.03
icr054427,0.9586,0.0018,-49.5,1.8,-17.29
icr072425,1.0693,0.0018,60.3,1.8,-18.94
icr048665,0.9008,0.0017,-106.7,1.7,-12.19
icr073229,0.9944,0.0018,-14,1.8,-15.69
icr054235,0.9515,0.0018,-56.6,1.8,-17.00
icr073068,1.0455,0.0017,36.7,1.7,-18.08
icr054189,1.0381,0.002,29.3,2,-18.36
icr073069,1.0388,0.0017,30,1.7,-18.87
icr072969,1.0258,0.0019,17.2,1.9,-19.54
icr054257,0.9667,0.0018,-41.5,1.8,-20.17
icr073300,1.0001,0.002,-8.3,2,-15.62
icr072247,0.9961,0.0018,-12.3,1.8,-16.49
icr054191,0.996,0.0019,-12.4,1.9,-17.42
icr072426,1.022,0.0019,13.3,1.9,-16.23
icr072287,1.0032,0.0018,-5.2,1.8,-18.11
icr054202,0.9324,0.0017,-75.5,1.7,-16.69
