SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr062167,1.0516,0.0019,42.8,1.9,-26.31
icr030051,1.0519,0.0023,43,2.3,-14.59
icr076611,0.9975,0.0017,-11,1.7,-13.81
icr076612,0.9654,0.002,-42.8,2,-12.93
icr076632,1.0072,0.002,-1.3,2,-11.77
icr030132,0.9448,0.002,-63.1,2,-13.50
icr062169,1.063,0.002,54.1,2,-26.35
icr076638,0.9666,0.0022,-41.5,2.2,-13.32
icr030127,1.0211,0.0021,12.5,2.1,-15.49
icr030097,1.0134,0.0019,4.9,1.9,-14.78
icr030052,0.9793,0.0017,-28.9,1.7,-13.40
icr062159,1.0231,0.0018,14.5,1.8,-26.14
icr076599,0.9934,0.0017,-15,1.7,-14.39
icr062168,0.9949,0.0017,-13.4,1.7,-25.42
icr076633,0.9462,0.0017,-61.8,1.7,-11.44
icr062165,1.059,0.0018,50.1,1.8,-26.28
icr062166,1.0594,0.0018,50.5,1.8,-26.51
icr030114,1.0617,0.0018,52.8,1.8,-19.38
icr030131,1.0352,0.0017,26.5,1.7,-14.43
icr038242,1.0328,0.0017,24.1,1.7,-19.61
icr076639,0.7945,0.0015,-212.2,1.5,-12.34
icr076527,0.9321,0.0016,-75.7,1.6,-12.85
icr062170,0.9916,0.0017,-16.7,1.7,-25.61
icr030128,0.9665,0.0018,-41.6,1.8,-15.24
icr076607,0.9231,0.0016,-84.7,1.6,-12.47
icr076600,0.8978,0.0016,-109.8,1.6,-13.42
icr076481,0.9717,0.0017,-36.5,1.7,-14.91
icr062160,0.9365,0.0017,-71.4,1.7,-25.52
icr030098,0.9074,0.0016,-100.3,1.6,-14.29
icr030134,0.9989,0.0019,-9.5,1.9,-16.17
icr076386,1.038,0.002,29.3,2,-14.97
icr030123,1.0528,0.0018,44,1.8,-14.89
icr076518,0.9833,0.0019,-25,1.9,-17.79
icr038243,0.9804,0.0019,-27.8,1.9,-19.06
icr030113,0.9923,0.0017,-16,1.7,-18.43
icr030133,1.0472,0.002,38.4,2,-17.21
icr076528,0.8576,0.0016,-149.6,1.6,-13.43
icr076460,0.8217,0.0017,-185.2,1.7,-14.82
icr076508,0.8728,0.0024,-134.5,2.4,-14.59
icr030124,0.9942,0.0017,-14.2,1.7,-13.75
icr076480,0.7973,0.0015,-209.4,1.5,-12.86
icr076608,0.8672,0.0016,-140.1,1.6,-12.58
icr076509,0.9118,0.0016,-95.8,1.6,-14.02
icr076519,0.9326,0.0016,-75.2,1.6,-18.17
icr076387,0.9797,0.0017,-28.5,1.7,-15.10
icr076447,0.7358,0.0014,-270.4,1.4,-15.04
icr076461,0.6726,0.0015,-333.1,1.5,-15.16
icr075916,0.9855,0.0018,-22.8,1.8,-17.85
icr076446,0.7866,0.0016,-220.1,1.6,-15.64
icr075917,0.9043,0.0016,-103.3,1.6,-18.61
