SSN,F14C,F14C_err ,Delta14C,Delta14C_err,Delta13C
icr062415,1.0815,0.0019,72.4,1.9,-26.8
icr062407,1.0895,0.0019,80.3,1.9,-26.68
icr062435,1.0461,0.0019,37.3,1.9,-25.89
icr062381,1.0561,0.0018,47.2,1.8,-26.02
icr062399,1.0575,0.002,48.6,2,-24.76
icr062403,1.0658,0.0018,56.9,1.8,-25.96
icr062353,1.0643,0.0018,55.4,1.8,-25.93
icr062317,1.048,0.0019,39.1,1.9,-25.97
icr062336,1.0523,0.0019,43.4,1.9,-26.35
icr062201,1.0367,0.0018,27.9,1.8,-26.25
icr062409,1.052,0.002,43.1,2,-26.1
icr062405,1.0542,0.0019,45.3,1.9,-25.73
icr062316,0.9982,0.0018,-10.2,1.8,-25.34
icr062393,1.0738,0.0019,64.7,1.9,-26.45
icr062436,0.9409,0.0017,-67,1.7,-25.34
icr062416,0.9688,0.0018,-39.4,1.8,-25.4
icr062406,0.9622,0.0019,-45.9,1.9,-25.21
icr062202,0.9805,0.0019,-27.7,1.9,-25.77
icr062400,0.9215,0.002,-86.2,2,-24.54
icr062410,0.9781,0.0022,-30.2,2.2,-25.7
icr062354,0.9703,0.002,-37.9,2,-25.23
icr062404,0.9479,0.0019,-60.1,1.9,-25.27
icr062337,0.9628,0.002,-45.3,2,-25.82
icr068539,1.0304,0.0021,21.7,2.1,-18.77
icr068540,0.9476,0.0019,-60.4,1.9,-16.67
icr062382,0.9721,0.0021,-36.1,2.1,-25.16
icr062408,0.9446,0.002,-63.4,2,-25.2
icr062394,1.089,0.0021,79.8,2.1,-26.81
icr006492,1.0725,0.0021,63.5,2.1,-23.35
icr006454,1.0077,0.0022,-0.8,2.2,-15.85
icr068499,1.0461,0.002,37.3,2,-18.67
icr068717,1.061,0.0021,52.1,2.1,-17.84
icr006530,0.9956,0.0023,-12.8,2.3,-18.59
icr006455,0.878,0.0019,-129.4,1.9,-15.28
