SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr038218,1.0307,0.0019,22,1.9,-13.56
icr054287,1.0801,0.002,71,2,-17.58
icr062261,1.0119,0.0021,3.4,2.1,-26.44
icr062308,1.0409,0.0019,32.1,1.9,-25.87
icr062251,1.0557,0.002,46.8,2,-26.05
icr062324,1.0685,0.0018,59.5,1.8,-26.12
icr062247,1.0339,0.0018,25.2,1.8,-26.07
icr062312,1.0403,0.0019,31.5,1.9,-25.84
icr062249,1.0532,0.0019,44.4,1.9,-25.82
icr062248,1.0346,0.002,25.9,2,-25.92
icr062262,1.0125,0.0021,3.9,2.1,-26.39
icr062253,1.0426,0.0021,33.8,2.1,-26.35
icr062322,1.0497,0.0018,40.9,1.8,-26.13
icr062318,1.059,0.0021,50.1,2.1,-26.00
icr062227,1.0276,0.002,18.9,2,-25.86
icr062243,1.0386,0.002,29.9,2,-25.51
icr062309,1.0137,0.0018,5.2,1.8,-25.58
icr062320,1.0554,0.0019,46.5,1.9,-25.95
icr038219,0.8878,0.0018,-119.7,1.8,-14.07
icr054307,1.0326,0.0018,23.9,1.8,-19.97
icr062351,1.0512,0.0019,42.3,1.9,-25.81
icr062339,1.0605,0.0019,51.6,1.9,-25.86
icr062431,1.0274,0.0018,18.7,1.8,-25.64
icr062427,1.0495,0.002,40.7,2,-26.05
icr062254,1.0248,0.002,16.1,2,-25.43
icr062252,0.9422,0.0019,-65.7,1.9,-25.18
icr062250,0.9775,0.002,-30.7,2,-25.32
icr062313,0.9987,0.0019,-9.7,1.9,-25.60
icr062244,0.9654,0.0018,-42.7,1.8,-25.22
icr062437,1.0225,0.0019,13.8,1.9,-26.30
icr062325,1.0158,0.002,7.2,2,-25.77
icr062228,0.9654,0.0018,-42.7,1.8,-25.54
icr054285,1.0546,0.002,45.7,2,-22.79
icr054308,1.0115,0.0019,3,1.9,-19.20
icr062241,1.0588,0.0019,49.9,1.9,-26.16
icr062323,0.977,0.0022,-31.3,2.2,-25.56
icr062319,0.9359,0.0018,-72,1.8,-25.28
icr038147,1.0001,0.0021,-8.3,2.1,-16.32
icr054269,1.0036,0.0018,-4.9,1.8,-20.73
icr062321,0.9519,0.0018,-56.1,1.8,-25.18
icr062340,0.953,0.0019,-55.1,1.9,-25.34
icr062438,0.9272,0.0018,-80.6,1.8,-25.06
icr062432,0.8956,0.0017,-112,1.8,-25.23
icr062352,0.9059,0.0018,-101.7,1.8,-25.01
icr062242,0.9532,0.0019,-54.9,1.9,-25.47
icr062428,0.9604,0.002,-47.7,2,-25.20
icr054270,0.9334,0.0019,-74.4,1.9,-19.76
icr054286,0.975,0.0019,-33.2,1.9,-20.66
icr038148,0.9575,0.0018,-50.6,1.8,-15.77
icr054288,0.9894,0.002,-18.9,2,-17.65
