SSN,F14C,F14C_err ,Delta14C,Delta14C_err,Delta13C
icr062137,0.9863,0.0018,-22,1.8,-25.62
icr024956,1.0536,0.0025,44.7,2.5,-20.93
icr024994,1.0223,0.0028,13.7,2.8,-21.64
icr021103,1.0579,0.0025,49,2.5,-15.75
icr020848,1.0728,0.0031,63.8,3.1,-15.83
icr033593,0.9362,0.0027,-71.7,2.7,-22.85
icr006116,1.0363,0.0027,27.5,2.7,-24.32
icr041898,0.9159,0.0025,-91.8,2.5,-17.90
icr020909,0.9665,0.0027,-41.6,2.7,-18.73
icr021064,1.0375,0.0028,28.7,2.8,-20.14
icr041899,0.8926,0.0026,-114.9,2.6,-20.01
icr024957,0.9678,0.0025,-40.3,2.5,-22.60
icr024995,0.9677,0.0026,-40.5,2.6,-21.82
icr024977,1.0024,0.0026,-6.1,2.6,-21.78
icr020971,1.0164,0.003,7.8,3,-18.72
icr006570,1.0082,0.0031,-0.3,3.1,-16.55
icr068677,1.0528,0.0029,43.9,2.9,-20.45
icr068419,1.031,0.0029,22.3,2.9,-17.56
icr006493,0.9799,0.0035,-28.4,3.5,-22.67
icr006571,0.9458,0.003,-62.2,3,-16.07
icr074509,1.0342,0.0033,25.5,3.3,-21.20
icr068521,0.9984,0.0032,-10,3.2,-19.04
icr006531,0.9094,0.0032,-98.3,3.2,-18.00
icr068579,0.9561,0.003,-51.9,3,-18.11
icr068420,0.9424,0.0029,-65.6,2.9,-17.05
icr006744,1.0249,0.0031,16.2,3.1,-20.75
icr068522,0.8612,0.0031,-146.1,3.1,-19.47
icr068678,0.9139,0.0033,-93.8,3.3,-19.59
icr068580,0.8814,0.003,-126.1,2.9,-17.36
icr068500,0.8839,0.0032,-123.6,3.2,-18.14
icr006745,0.9399,0.0031,-68.1,3.1,-22.03
icr068718,0.8981,0.0032,-109.5,3.2,-17.00
icr074510,0.9455,0.0031,-62.5,3.1,-17.76
