SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr030214,1.0079,0.0018,-0.6,1.8,-14.88
icr030300,1.0071,0.0018,-1.4,1.8,-16.22
icr030215,0.9529,0.0018,-55.1,1.8,-14.20
icr062306,1.0652,0.0018,56.2,1.8,-26.36
icr062383,1.0526,0.002,43.7,2,-26.16
icr030301,0.9315,0.0018,-76.3,1.8,-14.42
icr054395,1.059,0.0017,50.1,1.7,-22.66
icr062296,1.0438,0.0018,34.9,1.8,-25.72
icr062298,1.0268,0.0017,18.2,1.7,-25.71
icr062365,1.0475,0.0018,38.7,1.8,-25.78
icr042117,1.0326,0.0018,23.9,1.8,-11.58
icr062357,1.0457,0.0017,36.9,1.7,-26.28
icr062387,1.0325,0.0017,23.8,1.7,-26.01
icr062355,1.0372,0.0017,28.5,1.7,-25.73
icr062299,1.0528,0.0016,43.9,1.6,-26.09
icr062302,1.057,0.0019,48.1,1.9,-26.39
icr054410,1.0438,0.0018,35,1.8,-20.57
icr062359,1.0317,0.0017,23,1.7,-25.90
icr062384,1.0151,0.0016,6.5,1.6,-25.64
icr054415,1.0266,0.0017,18,1.7,-19.05
icr062307,0.9979,0.0016,-10.5,1.6,-25.91
icr062369,1.0557,0.0018,46.8,1.8,-26.00
icr062391,1.054,0.0018,45.1,1.8,-26.21
icr062297,0.9836,0.0016,-24.7,1.6,-25.53
icr042118,0.9388,0.0016,-69.1,1.6,-10.39
icr062360,0.9786,0.0016,-29.7,1.6,-25.85
icr054411,1.0156,0.0017,7,1.7,-19.22
icr062388,0.9352,0.0019,-72.7,1.9,-25.34
icr062303,0.9672,0.0018,-40.9,1.8,-25.64
icr030270,1.0289,0.0019,20.2,1.9,-13.65
icr062366,0.9905,0.0018,-17.8,1.8,-25.56
icr062356,0.9509,0.0021,-57.1,2.1,-25.02
icr062358,0.9789,0.002,-29.4,2,-25.71
icr054387,1.0119,0.0022,3.4,2.2,-17.05
icr030282,1.033,0.0022,24.3,2.2,-14.21
icr042141,1.0712,0.0021,62.1,2.1,-20.32
icr062392,0.988,0.0019,-20.3,1.9,-25.69
icr042082,0.8878,0.0016,-119.7,1.6,-13.28
icr054416,0.978,0.0017,-30.3,1.7,-20.02
icr042108,1.0281,0.0017,19.4,1.7,-13.79
icr042113,1.0346,0.0019,25.9,1.9,-17.45
icr042142,1.0812,0.0021,72.1,2.1,-20.76
icr042083,0.8148,0.0015,-192.1,1.5,-12.75
icr042114,1.0221,0.0019,13.5,1.9,-15.95
icr062370,1.0075,0.002,-1,2,-25.67
icr030271,0.9382,0.0019,-69.7,1.9,-13.91
icr054396,0.9816,0.0018,-26.6,1.8,-21.93
icr054388,0.9321,0.0018,-75.7,1.8,-16.46
icr042109,0.9584,0.0019,-49.7,1.9,-13.22
icr030283,0.9708,0.002,-37.4,2,-14.38
