SSN,F14C,F14C_err ,Delta14C,Delta14C_err,Delta13C
icr054301,1.0511,0.0022,42.2,2.2,-24.39
icr054181,1.0231,0.002,14.5,2,-18.51
icr054309,1.0801,0.002,71,2,-22.75
icr054175,1.0399,0.0022,31.1,2.2,-19.41
icr054402,1.0558,0.0022,46.8,2.2,-20.47
icr038299,0.9003,0.002,-107.3,2,-18.23
icr038227,1.0271,0.002,18.4,2,-19.21
icr005990,1.088,0.002,78.8,2,-22.81
icr005971,1.0586,0.0021,49.7,2.1,-17.55
icr033634,1.0372,0.0022,28.4,2.2,-18.41
icr042267,1.0748,0.0019,65.7,1.9,-18.72
icr037453,1.0128,0.002,4.3,2,-20.21
icr020888,1.0546,0.0019,45.7,1.9,-14.53
icr006130,1.0968,0.0019,87.5,1.9,-24.07
icr041679,1.0167,0.0019,8.1,1.9,-17.32
icr076646,0.9358,0.0018,-72.1,1.8,-14.47
icr070124,1.0512,0.002,42.3,2,-19.87
icr073168,1.0577,0.0019,48.8,1.9,-19.27
icr076374,0.9766,0.0019,-31.7,1.9,-13.47
icr073439,1.034,0.002,25.3,2,-18.5
icr073519,1.0301,0.0019,21.4,1.9,-16.83
icr076357,1.0322,0.0019,23.4,1.9,-16.73
icr076422,1.0226,0.0019,14,1.9,-13.44
icr076418,1.0358,0.0019,27,1.9,-12.53
icr073379,1.0399,0.0019,31.1,1.9,-20.78
icr074691,1.0744,0.002,65.3,2,-23.31
icr073578,1.023,0.0019,14.4,1.9,-20.54
icr073558,1.0581,0.0019,49.2,1.9,-19.19
icr076494,0.8892,0.0018,-118.3,1.8,-17.84
icr076406,0.8466,0.0017,-160.5,1.7,-14.67
icr073148,1.0341,0.0019,25.4,1.9,-17.87
