SSN,F14C,F14C_err,Delta14C,Delta14C_err,Delta13C
icr062263,1.0708,0.0036,61.8,3.6,-26.74
icr030176,0.9868,0.0034,-21.5,3.4,-12.15
icr062199,1.0894,0.0035,80.2,3.5,-26.36
icr042266,0.5756,0.002,-429.2,2,-4.58
icr030177,0.9316,0.003,-76.3,3,-12.99
icr062287,1.0549,0.0036,46,3.6,-26.02
icr062211,1.0339,0.0034,25.2,3.4,-26.17
icr030145,0.9968,0.0033,-11.6,3.3,-12.51
icr062265,1.0614,0.0035,52.5,3.5,-25.56
icr054372,1.0415,0.0034,32.7,3.4,-19.54
icr062439,1.0264,0.0034,17.8,3.4,-26.1
icr062264,0.9832,0.0032,-25.1,3.2,-25.79
icr054322,1.0317,0.0033,23,3.3,-22.31
icr042280,1.0779,0.0035,68.8,3.5,-12.79
icr062212,0.9407,0.003,-67.3,3,-25.29
icr062213,1.0465,0.0034,37.6,3.4,-26.29
icr062443,1.0235,0.0034,14.9,3.4,-25.76
icr062183,1.0375,0.0034,28.7,3.4,-26.04
icr030146,0.8974,0.003,-110.2,3,-12.7
icr030137,1.0157,0.0033,7.1,3.3,-14.76
icr030190,1.0628,0.0035,53.8,3.5,-12.44
icr062288,0.9689,0.0023,-39.3,2.3,-25.69
icr062203,1.0772,0.0025,68.2,2.5,-26.48
icr042282,1.0739,0.0022,64.8,2.2,-15.51
icr054363,1.0015,0.002,-6.9,2,-15.84
icr062187,1.0314,0.0022,22.7,2.2,-25.68
icr054373,0.9723,0.0019,-35.9,1.9,-15.27
icr062209,1.0645,0.002,55.5,2,-26.18
icr062266,0.9653,0.0021,-42.9,2.1,-25.64
icr062451,1.0154,0.002,6.9,2,-25.47
icr030206,1.054,0.0023,45.2,2.3,-13.81
icr062440,1.0294,0.0023,20.8,2.3,-26.15
icr062184,0.9951,0.0021,-13.3,2.1,-25.46
icr030138,0.9664,0.0025,-41.7,2.5,-13.81
icr054323,1.0249,0.002,16.3,2,-21.2
icr062214,1.0005,0.0021,-7.9,2.1,-25.44
icr062204,0.9972,0.0021,-11.2,2.1,-25.4
icr062210,0.9643,0.0023,-43.8,2.3,-25.66
icr062200,0.9515,0.0019,-56.5,1.9,-25.04
icr030191,1.0298,0.0021,21.1,2.1,-11.71
icr062444,0.8842,0.0024,-123.3,2.4,-24.72
icr054315,1.0933,0.0024,84.1,2.4,-20.3
icr062452,0.9161,0.0019,-91.6,1.9,-24.16
icr030207,0.9859,0.003,-22.4,3,-12.48
icr042281,0.9402,0.0018,-67.7,1.8,-11.04
icr062188,0.91,0.0021,-97.7,2.1,-25.08
icr042265,1.0443,0.0021,35.5,2.1,-14.31
icr054316,1.0502,0.0021,41.3,2.1,-19.74
icr054364,0.8541,0.0017,-153.1,1.7,-17.5
icr042283,0.9719,0.0018,-36.3,1.8,-16.25
